"Author";"Class";"Name";"ShortName";"Value"
"PAIVA-SILVA GO";"Zika";"Citations from papers in MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCatCites - Microcephaly, Fetal infections & Pregnancy Complications";"0"
"PAIVA-SILVA GO";"Zika";"Citations from papers in MeSH Category - Virus Characterization";"MeSHCatCites - Virus Characterization";"14"
"PAIVA-SILVA GO";"Zika";"Citations from papers in MeSH Category - Related Diseases";"MeSHCatCites - Related Diseases";"46"
"PAIVA-SILVA GO";"Zika";"Citations from papers in MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCatCites - Treatments, Vaccines & Diagnostic Tests";"0"
"PAIVA-SILVA GO";"Zika";"Citations from papers in MeSH Category - Clinical manifestations";"MeSHCatCites - Clinical manifestations";"0"
"PAIVA-SILVA GO";"Zika";"Total Citations";"Citations";"60"
"PAIVA-SILVA GO";"Zika";"Citations per Paper";"CitationRate";"20"
"PAIVA-SILVA GO";"Zika";"Number of Authors per Paper";"AvgAuthorNumber";"8"
"PAIVA-SILVA GO";"Zika";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"2.66666666666667"
"PAIVA-SILVA GO";"Zika";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"1"
"PAIVA-SILVA GO";"Zika";"Total Papers";"Papers";"3"
"PAIVA-SILVA GO";"Zika";"Papers with International Affiliations";"PapersINTL";"3"
"PAIVA-SILVA GO";"Zika";"Percentage of Papers with International Affiliations";"PercPapersINTL";"1"
"PAIVA-SILVA GO";"Zika";"Academic Age - Years Since the First Paper Record";"Academic Age";"4"
"PAIVA-SILVA GO";"Zika";"Percentage of Zika-related papers";"PercZika";"1"
"PAIVA-SILVA GO";"Zika";"Number of highly-cited Zika papers";"HighlyCited";"0"
"PAIVA-SILVA GO";"All";"Author affiliations";"Affiliation";"INCT EM"
"PAIVA-SILVA GO";"All";"Authos afilliation states";"State";"-"
"PAIVA-SILVA GO";"All";"Author affiliation regions";"Region";""
"PAIVA-SILVA GO";"All";"CognitiveCareerNetworkCoupling";"CareerNetCoupling";"Coupled to both"
"PAIVA-SILVA GO";"All";"CognitiveCareerNetworkPivot";"CareerNetPivot";"Soft pivot"
"FERREIRA IM";"Pre-Outbreak";"Most Common Journal Area";"TopField";"CHEMISTRY"
"FERREIRA IM";"Pre-Outbreak";"Total Citations";"Citations";"117"
"FERREIRA IM";"Pre-Outbreak";"Citations per Paper";"CitationRate";"13"
"FERREIRA IM";"Pre-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"5.67"
"FERREIRA IM";"Pre-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"1.83333333333333"
"FERREIRA IM";"Pre-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0"
"FERREIRA IM";"Pre-Outbreak";"Total Papers";"Papers";"6"
"FERREIRA IM";"Pre-Outbreak";"Papers with International Affiliations";"PapersINTL";"0"
"FERREIRA IM";"Pre-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0"
"FERREIRA IM";"Pre-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"9"
"FERREIRA IM";"Pre-Outbreak";"Percentage of Zika-related papers";"PercZika";"0"
"FERREIRA IM";"Pre-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"FERREIRA IM";"Post-Outbreak";"Most Common Journal Area";"TopField";"CHEMISTRY"
"FERREIRA IM";"Post-Outbreak";"Total Citations";"Citations";"114"
"FERREIRA IM";"Post-Outbreak";"Citations per Paper";"CitationRate";"4.07"
"FERREIRA IM";"Post-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"8.11"
"FERREIRA IM";"Post-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"3"
"FERREIRA IM";"Post-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.307692307692308"
"FERREIRA IM";"Post-Outbreak";"Total Papers";"Papers";"26"
"FERREIRA IM";"Post-Outbreak";"Papers with International Affiliations";"PapersINTL";"7"
"FERREIRA IM";"Post-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.27"
"FERREIRA IM";"Post-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"5"
"FERREIRA IM";"Post-Outbreak";"Percentage of Zika-related papers";"PercZika";"0.11"
"FERREIRA IM";"Post-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"FERREIRA IM";"Zika";"Most Common Journal Area";"TopField";"BIOTECHNOLOGY & APPLIED MICROBIOLOGY"
"FERREIRA IM";"Zika";"Frequency of MeSH Category - Vector & Transmission";"MeSHCat - Frequency of MeSH Category - Vector & Transmission";"0"
"FERREIRA IM";"Zika";"Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCat - Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"0"
"FERREIRA IM";"Zika";"Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCat - Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"0"
"FERREIRA IM";"Zika";"Frequency of MeSH Category - Virus Characterization";"MeSHCat - Frequency of MeSH Category - Virus Characterization";"0"
"FERREIRA IM";"Zika";"Frequency of MeSH Category - Related Diseases";"MeSHCat - Frequency of MeSH Category - Related Diseases";"0"
"FERREIRA IM";"Zika";"Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCat - Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"0"
"FERREIRA IM";"Zika";"Frequency of MeSH Category - Clinical manifestations";"MeSHCat - Frequency of MeSH Category - Clinical manifestations";"0"
"FERREIRA IM";"Zika";"Citations from papers in MeSH Category - Vector & Transmission";"MeSHCatCites - Vector & Transmission";"0"
"FERREIRA IM";"Zika";"Citations from papers in MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCatCites - Epidemiology, Outbreaks & Surveillance";"0"
"FERREIRA IM";"Zika";"Citations from papers in MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCatCites - Microcephaly, Fetal infections & Pregnancy Complications";"0"
"FERREIRA IM";"Zika";"Citations from papers in MeSH Category - Virus Characterization";"MeSHCatCites - Virus Characterization";"0"
"FERREIRA IM";"Zika";"Citations from papers in MeSH Category - Related Diseases";"MeSHCatCites - Related Diseases";"0"
"FERREIRA IM";"Zika";"Citations from papers in MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCatCites - Treatments, Vaccines & Diagnostic Tests";"0"
"FERREIRA IM";"Zika";"Citations from papers in MeSH Category - Clinical manifestations";"MeSHCatCites - Clinical manifestations";"0"
"FERREIRA IM";"Zika";"Total Citations";"Citations";"3"
"FERREIRA IM";"Zika";"Citations per Paper";"CitationRate";"1"
"FERREIRA IM";"Zika";"Number of Authors per Paper";"AvgAuthorNumber";"9.33"
"FERREIRA IM";"Zika";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"2"
"FERREIRA IM";"Zika";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0"
"FERREIRA IM";"Zika";"Total Papers";"Papers";"2"
"FERREIRA IM";"Zika";"Papers with International Affiliations";"PapersINTL";"0"
"FERREIRA IM";"Zika";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0"
"FERREIRA IM";"Zika";"Academic Age - Years Since the First Paper Record";"Academic Age";"3"
"FERREIRA IM";"Zika";"Percentage of Zika-related papers";"PercZika";"1"
"FERREIRA IM";"Zika";"Number of highly-cited Zika papers";"HighlyCited";"0"
"FERREIRA IM";"All";"Author affiliations";"Affiliation";"UNIFAP"
"FERREIRA IM";"All";"Authos afilliation states";"State";"AP"
"FERREIRA IM";"All";"Author affiliation regions";"Region";"N"
"FERREIRA IM";"All";"CognitiveCareerNetworkCoupling";"CareerNetCoupling";"Coupled to both"
"FERREIRA IM";"All";"CognitiveCareerNetworkPivot";"CareerNetPivot";"Soft pivot"
"CAIAFFA WT";"Pre-Outbreak";"Most Common Journal Area";"TopField";"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"CAIAFFA WT";"Pre-Outbreak";"Total Citations";"Citations";"1326"
"CAIAFFA WT";"Pre-Outbreak";"Citations per Paper";"CitationRate";"15.42"
"CAIAFFA WT";"Pre-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"6.06"
"CAIAFFA WT";"Pre-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"3.09375"
"CAIAFFA WT";"Pre-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.796875"
"CAIAFFA WT";"Pre-Outbreak";"Total Papers";"Papers";"64"
"CAIAFFA WT";"Pre-Outbreak";"Papers with International Affiliations";"PapersINTL";"12"
"CAIAFFA WT";"Pre-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.19"
"CAIAFFA WT";"Pre-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"27"
"CAIAFFA WT";"Pre-Outbreak";"Percentage of Zika-related papers";"PercZika";"0"
"CAIAFFA WT";"Pre-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"CAIAFFA WT";"Post-Outbreak";"Most Common Journal Area";"TopField";"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"CAIAFFA WT";"Post-Outbreak";"Total Citations";"Citations";"279"
"CAIAFFA WT";"Post-Outbreak";"Citations per Paper";"CitationRate";"7.54"
"CAIAFFA WT";"Post-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"11.92"
"CAIAFFA WT";"Post-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"3.22222222222222"
"CAIAFFA WT";"Post-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"5.69444444444444"
"CAIAFFA WT";"Post-Outbreak";"Total Papers";"Papers";"36"
"CAIAFFA WT";"Post-Outbreak";"Papers with International Affiliations";"PapersINTL";"17"
"CAIAFFA WT";"Post-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.47"
"CAIAFFA WT";"Post-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"5"
"CAIAFFA WT";"Post-Outbreak";"Percentage of Zika-related papers";"PercZika";"0.03"
"CAIAFFA WT";"Post-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"CAIAFFA WT";"Zika";"Most Common Journal Area";"TopField";"OPHTHALMOLOGY"
"CAIAFFA WT";"Zika";"Frequency of MeSH Category - Vector & Transmission";"MeSHCat - Frequency of MeSH Category - Vector & Transmission";"0"
"CAIAFFA WT";"Zika";"Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCat - Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"0"
"CAIAFFA WT";"Zika";"Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCat - Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"1"
"CAIAFFA WT";"Zika";"Frequency of MeSH Category - Virus Characterization";"MeSHCat - Frequency of MeSH Category - Virus Characterization";"0"
"CAIAFFA WT";"Zika";"Frequency of MeSH Category - Related Diseases";"MeSHCat - Frequency of MeSH Category - Related Diseases";"0"
"CAIAFFA WT";"Zika";"Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCat - Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"0"
"CAIAFFA WT";"Zika";"Frequency of MeSH Category - Clinical manifestations";"MeSHCat - Frequency of MeSH Category - Clinical manifestations";"0"
"CAIAFFA WT";"Zika";"Citations from papers in MeSH Category - Vector & Transmission";"MeSHCatCites - Vector & Transmission";"0"
"CAIAFFA WT";"Zika";"Citations from papers in MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCatCites - Epidemiology, Outbreaks & Surveillance";"0"
"CAIAFFA WT";"Zika";"Citations from papers in MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCatCites - Microcephaly, Fetal infections & Pregnancy Complications";"3"
"CAIAFFA WT";"Zika";"Citations from papers in MeSH Category - Virus Characterization";"MeSHCatCites - Virus Characterization";"0"
"CAIAFFA WT";"Zika";"Citations from papers in MeSH Category - Related Diseases";"MeSHCatCites - Related Diseases";"0"
"CAIAFFA WT";"Zika";"Citations from papers in MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCatCites - Treatments, Vaccines & Diagnostic Tests";"0"
"CAIAFFA WT";"Zika";"Citations from papers in MeSH Category - Clinical manifestations";"MeSHCatCites - Clinical manifestations";"0"
"CAIAFFA WT";"Zika";"Total Citations";"Citations";"3"
"CAIAFFA WT";"Zika";"Citations per Paper";"CitationRate";"3"
"CAIAFFA WT";"Zika";"Number of Authors per Paper";"AvgAuthorNumber";"3"
"CAIAFFA WT";"Zika";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"2"
"CAIAFFA WT";"Zika";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0"
"CAIAFFA WT";"Zika";"Total Papers";"Papers";"1"
"CAIAFFA WT";"Zika";"Papers with International Affiliations";"PapersINTL";"0"
"CAIAFFA WT";"Zika";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0"
"CAIAFFA WT";"Zika";"Academic Age - Years Since the First Paper Record";"Academic Age";"5"
"CAIAFFA WT";"Zika";"Percentage of Zika-related papers";"PercZika";"1"
"CAIAFFA WT";"Zika";"Number of highly-cited Zika papers";"HighlyCited";"0"
"CAIAFFA WT";"All";"Author affiliations";"Affiliation";"CNPQ;UFMG;-"
"CAIAFFA WT";"All";"Authos afilliation states";"State";"-;MG"
"CAIAFFA WT";"All";"Author affiliation regions";"Region";"SE"
"CAIAFFA WT";"All";"CognitiveCareerNetworkCoupling";"CareerNetCoupling";"Coupled to non-Zika only"
"CAIAFFA WT";"All";"CognitiveCareerNetworkPivot";"CareerNetPivot";"Hard pivot"
"JUNGMANN P";"Pre-Outbreak";"Most Common Journal Area";"TopField";"ORTHOPEDICS"
"JUNGMANN P";"Pre-Outbreak";"Total Citations";"Citations";"915"
"JUNGMANN P";"Pre-Outbreak";"Citations per Paper";"CitationRate";"30.5"
"JUNGMANN P";"Pre-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"11.77"
"JUNGMANN P";"Pre-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"0.0384615384615385"
"JUNGMANN P";"Pre-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"5.96153846153846"
"JUNGMANN P";"Pre-Outbreak";"Total Papers";"Papers";"26"
"JUNGMANN P";"Pre-Outbreak";"Papers with International Affiliations";"PapersINTL";"26"
"JUNGMANN P";"Pre-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"1"
"JUNGMANN P";"Pre-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"15"
"JUNGMANN P";"Pre-Outbreak";"Percentage of Zika-related papers";"PercZika";"0"
"JUNGMANN P";"Pre-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"JUNGMANN P";"Post-Outbreak";"Most Common Journal Area";"TopField";"ORTHOPEDICS"
"JUNGMANN P";"Post-Outbreak";"Total Citations";"Citations";"270"
"JUNGMANN P";"Post-Outbreak";"Citations per Paper";"CitationRate";"6.28"
"JUNGMANN P";"Post-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"8.56"
"JUNGMANN P";"Post-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"0.894736842105263"
"JUNGMANN P";"Post-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"4.5"
"JUNGMANN P";"Post-Outbreak";"Total Papers";"Papers";"38"
"JUNGMANN P";"Post-Outbreak";"Papers with International Affiliations";"PapersINTL";"36"
"JUNGMANN P";"Post-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.95"
"JUNGMANN P";"Post-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"5"
"JUNGMANN P";"Post-Outbreak";"Percentage of Zika-related papers";"PercZika";"0.16"
"JUNGMANN P";"Post-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"1"
"JUNGMANN P";"Zika";"Most Common Journal Area";"TopField";"NEUROSCIENCES & NEUROLOGY"
"JUNGMANN P";"Zika";"Frequency of MeSH Category - Vector & Transmission";"MeSHCat - Frequency of MeSH Category - Vector & Transmission";"0"
"JUNGMANN P";"Zika";"Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCat - Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"2"
"JUNGMANN P";"Zika";"Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCat - Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"7"
"JUNGMANN P";"Zika";"Frequency of MeSH Category - Virus Characterization";"MeSHCat - Frequency of MeSH Category - Virus Characterization";"1"
"JUNGMANN P";"Zika";"Frequency of MeSH Category - Related Diseases";"MeSHCat - Frequency of MeSH Category - Related Diseases";"0"
"JUNGMANN P";"Zika";"Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCat - Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"0"
"JUNGMANN P";"Zika";"Frequency of MeSH Category - Clinical manifestations";"MeSHCat - Frequency of MeSH Category - Clinical manifestations";"0"
"JUNGMANN P";"Zika";"Citations from papers in MeSH Category - Vector & Transmission";"MeSHCatCites - Vector & Transmission";"0"
"JUNGMANN P";"Zika";"Citations from papers in MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCatCites - Epidemiology, Outbreaks & Surveillance";"8"
"JUNGMANN P";"Zika";"Citations from papers in MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCatCites - Microcephaly, Fetal infections & Pregnancy Complications";"77"
"JUNGMANN P";"Zika";"Citations from papers in MeSH Category - Virus Characterization";"MeSHCatCites - Virus Characterization";"7"
"JUNGMANN P";"Zika";"Citations from papers in MeSH Category - Related Diseases";"MeSHCatCites - Related Diseases";"0"
"JUNGMANN P";"Zika";"Citations from papers in MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCatCites - Treatments, Vaccines & Diagnostic Tests";"0"
"JUNGMANN P";"Zika";"Citations from papers in MeSH Category - Clinical manifestations";"MeSHCatCites - Clinical manifestations";"0"
"JUNGMANN P";"Zika";"Total Citations";"Citations";"77"
"JUNGMANN P";"Zika";"Citations per Paper";"CitationRate";"11"
"JUNGMANN P";"Zika";"Number of Authors per Paper";"AvgAuthorNumber";"8.71"
"JUNGMANN P";"Zika";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"4.85714285714286"
"JUNGMANN P";"Zika";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"1.42857142857143"
"JUNGMANN P";"Zika";"Total Papers";"Papers";"7"
"JUNGMANN P";"Zika";"Papers with International Affiliations";"PapersINTL";"5"
"JUNGMANN P";"Zika";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.71"
"JUNGMANN P";"Zika";"Academic Age - Years Since the First Paper Record";"Academic Age";"4"
"JUNGMANN P";"Zika";"Percentage of Zika-related papers";"PercZika";"1"
"JUNGMANN P";"Zika";"Number of highly-cited Zika papers";"HighlyCited";"1"
"JUNGMANN P";"All";"Author affiliations";"Affiliation";"UFPE;UPE"
"JUNGMANN P";"All";"Authos afilliation states";"State";"PE"
"JUNGMANN P";"All";"Author affiliation regions";"Region";"NE"
"JUNGMANN P";"All";"CognitiveCareerNetworkCoupling";"CareerNetCoupling";"Coupled to non-Zika only"
"JUNGMANN P";"All";"CognitiveCareerNetworkPivot";"CareerNetPivot";"Hard pivot"
"VALLE D";"Pre-Outbreak";"Most Common Journal Area";"TopField";"TROPICAL MEDICINE"
"VALLE D";"Pre-Outbreak";"Total Citations";"Citations";"2159"
"VALLE D";"Pre-Outbreak";"Citations per Paper";"CitationRate";"44.98"
"VALLE D";"Pre-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"5.79"
"VALLE D";"Pre-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"3.55555555555556"
"VALLE D";"Pre-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.259259259259259"
"VALLE D";"Pre-Outbreak";"Total Papers";"Papers";"27"
"VALLE D";"Pre-Outbreak";"Papers with International Affiliations";"PapersINTL";"4"
"VALLE D";"Pre-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.15"
"VALLE D";"Pre-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"34"
"VALLE D";"Pre-Outbreak";"Percentage of Zika-related papers";"PercZika";"0"
"VALLE D";"Pre-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"VALLE D";"Post-Outbreak";"Most Common Journal Area";"TopField";"PARASITOLOGY"
"VALLE D";"Post-Outbreak";"Total Citations";"Citations";"200"
"VALLE D";"Post-Outbreak";"Citations per Paper";"CitationRate";"14.29"
"VALLE D";"Post-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"4.57"
"VALLE D";"Post-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"3.53846153846154"
"VALLE D";"Post-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.153846153846154"
"VALLE D";"Post-Outbreak";"Total Papers";"Papers";"13"
"VALLE D";"Post-Outbreak";"Papers with International Affiliations";"PapersINTL";"1"
"VALLE D";"Post-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.08"
"VALLE D";"Post-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"5"
"VALLE D";"Post-Outbreak";"Percentage of Zika-related papers";"PercZika";"0.29"
"VALLE D";"Post-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"VALLE D";"Zika";"Most Common Journal Area";"TopField";"INFECTIOUS DISEASES"
"VALLE D";"Zika";"Frequency of MeSH Category - Vector & Transmission";"MeSHCat - Frequency of MeSH Category - Vector & Transmission";"4"
"VALLE D";"Zika";"Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCat - Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"1"
"VALLE D";"Zika";"Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCat - Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"0"
"VALLE D";"Zika";"Frequency of MeSH Category - Virus Characterization";"MeSHCat - Frequency of MeSH Category - Virus Characterization";"0"
"VALLE D";"Zika";"Frequency of MeSH Category - Related Diseases";"MeSHCat - Frequency of MeSH Category - Related Diseases";"2"
"VALLE D";"Zika";"Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCat - Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"0"
"VALLE D";"Zika";"Frequency of MeSH Category - Clinical manifestations";"MeSHCat - Frequency of MeSH Category - Clinical manifestations";"0"
"VALLE D";"Zika";"Citations from papers in MeSH Category - Vector & Transmission";"MeSHCatCites - Vector & Transmission";"64"
"VALLE D";"Zika";"Citations from papers in MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCatCites - Epidemiology, Outbreaks & Surveillance";"11"
